		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 292.953125	M = 150000	N = 8	m = 9	n = 1200000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  778  796  778  819  729  784  794  804 6862.711749 0.000000 FAILURE   0
000000011  466  511  514  507  488  463  462  461 1044.845144 0.000000 FAILURE   1
000000101  477  470  430  522  466  482  502  465 972.484794 0.000000 FAILURE   2
000000111  304  288  310  309  302  322  286  276  6.905725 0.546838 SUCCESS   3
000001001  841  796  767  732  789  786  787  795 6906.427240 0.000000 FAILURE   4
000001011  293  322  267  313  290  305  342  314 17.375928 0.026424 SUCCESS   5
000001101  299  373  338  318  322  328  328  310 44.808151 0.000000 FAILURE   6
000001111  138  157  137  150  152  148  151  168 578.636934 0.000000 FAILURE   7
000010001  795  741  801  810  786  773  784  777 6804.145404 0.000000 FAILURE   8
000010011  496  494  493  458  502  476  464  463 1003.691404 0.000000 FAILURE   9
000010101  322  341  334  354  350  335  317  338 57.172278 0.000000 FAILURE  10
000010111  168  141  139  151  142  157  149  154 578.502773 0.000000 FAILURE  11
000011001  659  643  653  627  673  607  682  653 3607.512702 0.000000 FAILURE  12
000011011  145  168  141  133  144  137  164  155 594.357410 0.000000 FAILURE  13
000011101  177  167  210  207  164  196  188  191 321.340502 0.000000 FAILURE  14
000011111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  15
000100011  490  502  502  462  502  492  489  489 1112.106705 0.000000 FAILURE  16
000100101  508  477  502  469  467  480  494  488 1054.060675 0.000000 FAILURE  17
000100111  306  306  304  267  317  281  302  281  7.350244 0.499358 SUCCESS  18
000101001  596  596  653  667  632  652  617  607 3180.041123 0.000000 FAILURE  19
000101011  133  145  157  163  161  144  128  139 612.043414 0.000000 FAILURE  20
000101101  181  196  174  182  180  203  188  170 336.732194 0.000000 FAILURE  21
000101111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  22
000110011  475  469  488  497  488  509  500  474 1073.917973 0.000000 FAILURE  23
000110101  328  344  318  340  319  332  315  319 35.455369 0.000022 FAILURE  24
000110111  153  159  162  123  135  134  152  162 603.001432 0.000000 FAILURE  25
000111001  347  352  338  347  358  356  363  331 91.505088 0.000000 FAILURE  26
000111011  132  142  153  157  131  143  167  158 598.621001 0.000000 FAILURE  27
000111101  185  210  182  192  208  177  193  178 299.759409 0.000000 FAILURE  28
000111111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  29
001000011  488  452  477  477  512  493  497  505 1079.238856 0.000000 FAILURE  30
001000101  491  469  519  531  503  442  479  498 1133.206649 0.000000 FAILURE  31
001000111  321  290  277  332  319  323  305  308 15.983895 0.042611 SUCCESS  32
001001011  296  303  310  275  299  316  320  268  9.338501 0.314550 SUCCESS  33
001001101  340  338  337  340  330  325  325  351 53.636534 0.000000 FAILURE  34
001001111  153  155  139  115  162  142  172  150 596.620829 0.000000 FAILURE  35
001010011  441  487  509  529  466  499  422  487 1019.181511 0.000000 FAILURE  36
001010101  357  346  339  357  340  355  342  372 98.345546 0.000000 FAILURE  37
001010111  153  168  161  150  165  129  143  147 565.201061 0.000000 FAILURE  38
001011011  137  151  138  151  142  154  152  125 631.278340 0.000000 FAILURE  39
001011101  202  185  173  183  200  187  200  183 307.162550 0.000000 FAILURE  40
001011111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  41
001100101  283  344  292  297  300  323  288  319 15.455304 0.050874 SUCCESS  42
001100111  290  328  308  291  286  316  314  274 10.058293 0.260958 SUCCESS  43
001101011  119  159  158  133  149  151  126  143 646.914744 0.000000 FAILURE  44
001101101    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  45
001101111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  46
001110101  149  120  148  158  150  154  157  140 605.422071 0.000000 FAILURE  47
001110111  153  168  145  167  131  161  156  149 551.026971 0.000000 FAILURE  48
001111011  153  157  148  140  155  157  146  176 548.167880 0.000000 FAILURE  49
001111101    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  50
001111111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  51
010000011  395  373  434  409  403  409  412  409 365.054117 0.000000 FAILURE  52
010000111  219  204  225  242  234  228  193  226 150.978346 0.000000 FAILURE  53
010001011  225  205  229  238  225  236  212  224 136.394159 0.000000 FAILURE  54
010001111   81   75   78   79   73   89   82   60 1317.439047 0.000000 FAILURE  55
010010011  422  384  392  389  416  377  468  421 399.728950 0.000000 FAILURE  56
010010111   93   79   76   64   79   85   76   70 1309.987692 0.000000 FAILURE  57
010011011  158  143  154  160  159  155  155  164 530.703970 0.000000 FAILURE  58
010011111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  59
010100011  237  232  243  220  212  217  249  227 117.452821 0.000000 FAILURE  60
010100111  201  215  223  244  227  228  216  203 156.770890 0.000000 FAILURE  61
010101011  145  138  121  177  147  184  144  151 580.510117 0.000000 FAILURE  62
010101111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  63
010110011  220  245  213  221  216  240  213  247 128.587983 0.000000 FAILURE  64
010110111   62   72   61   81   64   74   72   60 1427.523088 0.000000 FAILURE  65
010111011  150  152  155  156  172  140  170  149 536.485702 0.000000 FAILURE  66
010111111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  67
011000111   83   59   99   67   67   73   87   83 1318.374976 0.000000 FAILURE  68
011001111   73   85   79   79   80   84   67   77 1305.871722 0.000000 FAILURE  69
011010111   56   70   88   67   82   80   64   88 1352.878576 0.000000 FAILURE  70
011011111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  71
011101111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  72
011111111    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  73
100000000  778  796  778  819  729  784  794  804 6862.711749 0.000000 FAILURE  74
100010000  797  733  783  810  820  774  806  760 6869.487223 0.000000 FAILURE  75
100100000  754  749  762  815  811  776  809  787 6796.941740 0.000000 FAILURE  76
100101000  464  502  460  473  492  480  467  496 986.458305 0.000000 FAILURE  77
100110000  677  710  716  699  653  692  646  729 4479.975486 0.000000 FAILURE  78
100111000  424  416  427  419  433  438  428  365 459.856465 0.000000 FAILURE  79
101000000  550  522  537  543  591  538  598  561 1957.343694 0.000000 FAILURE  80
101000100  559  560  553  565  591  548  545  577 2054.149634 0.000000 FAILURE  81
101001000  554  496  550  546  559  543  570  534 1792.260937 0.000000 FAILURE  82
101001100  524  600  567  578  510  573  548  563 2003.675770 0.000000 FAILURE  83
101010000  511  463  504  466  478  493  512  501 1117.324871 0.000000 FAILURE  84
